Job Title,Company,Location,Salary,Skills,Description
Senior Software Engineer - Frontend,dYdX,NY,$175K - $270K (Employer est.),"Management, CSS, React, JavaScript, SASS","Work together with multi-functional teams to develop the best overall product. You have experience with other state management libraries.&hellip;
Skills: Management, CSS, React, JavaScript, SASS"
Experienced Software Engineer - Product,Plaid,NY,$183K - $297K (Employer est.),"Mentoring, Project leadership, Leadership","You’ll collaborate with product, design, and data science teams to identify growth opportunities and design experiments that validate hypotheses.&hellip;
Skills: Mentoring, Project leadership, Leadership"
Experienced Software Engineer - Credit,Plaid,NY,$183K - $297K (Employer est.),"Go, SQL, AWS, Project leadership, Communication skills","You’ll own and lead projects, step up as a trusted member of the team’s oncall rotation, advocate for technical and process changes, and follow best practices…&hellip;
Skills: Go, SQL, AWS, Project leadership, Communication skills"
Full Stack Engineer,Recruitment Room America,NY,$200K - $300K (Employer est.),"CI/CD, Management, Node.js, React, Relational databases","5+ years of experience in front-end development, primarily with React, Next.js, and TypeScript. We deliver seamless, on-chain trading experiences with advanced…&hellip;
Skills: CI/CD, Management, Node.js, React, Relational databases"
Lead Software Engineer,"GTS, Inc. Corporate",NY,$140K - $154K (Employer est.),"CI/CD, Computer science, SAFe, Management, Military","*BS in Computer Science, Software Engineering, or other technical field* or equivalent education and work experience.&hellip;
Skills: CI/CD, Computer science, SAFe, Management, Military"
Front-End Engineer (React.js & JavaScript),Cenzen Media,NY,$30.00 - $50.00 Per Hour (Employer est.),"CI/CD, Node.js, CSS, Software troubleshooting, React","Develop and maintain user-facing features using React.js and related front-end technologies. Stay up to date with the latest front-end technologies and best…&hellip;
Skills: CI/CD, Node.js, CSS, Software troubleshooting, React"
"Machine Learning Engineer, Personalization",Spotify,NY,$137K - $196K (Employer est.),"TensorFlow, Java, Machine learning, Scala, Product management","Collaborate with a cross functional agile team spanning user research, design, data science, product management, and engineering to build new product features…&hellip;
Skills: TensorFlow, Java, Machine learning, Scala, Product management"
"Professional, Software Engineer - Web",MVP Health Care,NY,$71K - $96K (Employer est.),"Azure, CSS, C#, .NET, SQL","Play a key role as a Scrum/Agile team member in the design, development, deployment, and support of our web applications.&hellip;
Skills: Azure, CSS, C#, .NET, SQL"
Sr Staff Electronic Warfare (EW) Software Engineer,Lockheed Martin,NY,$128K - $226K (Employer est.),"DevOps, Analysis skills, C++, Software development, Agile","Collaborate with other engineering disciplines and program personnel to develop and support Electronic Warfare systems. Experience with Linux operating systems.&hellip;
Skills: DevOps, Analysis skills, C++, Software development, Agile"
Web Developer- AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
"Software Engineer, Android (Bank Tech)",Capital One,NY,Not Provided,"iOS, APIs, Agile, Swift","Develop Android client code solutions that deliver on Product Strategy and adhere to established engineering best practices, design guidelines and principles.&hellip;
Skills: iOS, APIs, Agile, Swift"
Oracle EBS Developer,Mediacom Communications Corporation,NY,$65K - $100K (Employer est.),"Cloud infrastructure, Oracle, XML, Load balancing, System architecture","Interact with stakeholders to gather business requirements, propose, design, develop detailed functional and technical specifications.&hellip;
Skills: Cloud infrastructure, Oracle, XML, Load balancing, System architecture"
UI/UX Developer - AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
Manager Software Development,Optimum,NY,$134K - $220K (Employer est.),"CI/CD, Go, Java, Analysis skills, Human resources","Effectively and respectfully drive technical team interactions, persuasively influencing architecture, software design, implementation, and incident recovery.&hellip;
Skills: CI/CD, Go, Java, Analysis skills, Human resources"
Senior Software Engineer,Capital One,NY,Not Provided,"Azure, Go, CSS, Kubernetes, NoSQL","Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, CSS, Kubernetes, NoSQL"
Full Stack Developer,Rethink,NY,$50.00 - $60.00 Per Hour (Employer est.),"MVC, CSS, Mobile applications, .NET Core, C#","Candidate will develop, design, test and deploy websites as well as support and maintain existing functionality. .NET Core: 1 year (Preferred).&hellip;
Skills: MVC, CSS, Mobile applications, .NET Core, C#"
Software Engineer (L4) - Ads Measurement,Netflix,NY,$100K - $720K (Employer est.),"Host/hostess experience, A/B testing, Martech, Leadership, Negotiation","Leveraging a blend of Netflix innovations and both first-party and third-party solutions, we deliver ads that respect the viewing experience while driving…&hellip;
Skills: Host/hostess experience, A/B testing, Martech, Leadership, Negotiation"
Associate Software Engineer,"BN, an Augeo company",NY,$65K - $77K (Employer est.),"Social listening, Node.js, Databases, AWS, Docker","We develop innovative software solutions for the social advertising industry and look for others who like to dive deep into code, integrate with the latest…&hellip;
Skills: Social listening, Node.js, Databases, AWS, Docker"
"Field Service Automation Engineer (New York, NY or Long Island, NY)",Abbott Laboratories,NY,$31.60 - $63.20 Per Hour (Employer est.),"Laboratory experience, Technical support, Assays","Determine level of urgency of service support requests; develop recommendations and implement solutions that reflect customer and Abbott business need.&hellip;
Skills: Laboratory experience, Technical support, Assays"
Database Developer - AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
Manufacturing Automation Engineer,Rochling Medical Rochester,NY,$75K - $105K (Employer est.),"Schematics, CAD, Fanuc, Microsoft Office, Statistical analysis","Familiarity with developing electrical schematics and modern automation hardware best practices. Focusing on contract manufacturing, we leverage our expertise…&hellip;
Skills: Schematics, CAD, Fanuc, Microsoft Office, Statistical analysis"
Staff Software Engineer - mParticle - NYC,mParticle,NY,$291K - $375K (Employer est.),"CI/CD, Go, Kubernetes, C#, English","A willingness and comfort in communicating remotely through chat, docs, video calls, and other collaborative online tools. Plus join the gym on us!&hellip;
Skills: CI/CD, Go, Kubernetes, C#, English"
Sr. Software Engineer (Communications & Login),Cedar Inc,NY,$196K - $230K (Employer est.),"Medical billing, Software development, Leadership, Communication skills","Collaborate cross-functionally: Partner closely with product, design, and data science teams to deliver innovative solutions.&hellip;
Skills: Medical billing, Software development, Leadership, Communication skills"
Senior Software Engineer (Full stack),DX,United States,$160K - $280K (Employer est.),"CSS, React, JavaScript, PostgreSQL","You’ll design and deliver features with a high degree of independence, collaborating directly with customers on product discovery and support.&hellip;
Skills: CSS, React, JavaScript, PostgreSQL"
"Backend Software Engineer, Infrastructure Platform",TikTok,NY,$137K - $280K (Employer est.),"Web design, Computer science, Go, Java, C++","BS degree in Computer Science, similar technical field of study or equivalent practical experience. Design, develop, test, deploy, maintain and improve software…&hellip;
Skills: Web design, Computer science, Go, Java, C++"
"Machine Learning Engineer, Content Understanding",Spotify,NY,$137K - $196K (Employer est.),"TensorFlow, Spark, Google Cloud Platform, Java, SQL","Collaborate with a cross functional agile team spanning design, data science, product management, and engineering to build new technologies and features.&hellip;
Skills: TensorFlow, Spark, Google Cloud Platform, Java, SQL"
"Front End Engineer, Amazon Advertising",Amazon.com Services LLC,NY,$137K - $262K (Employer est.),"Authentication, SSO, MVC, CSS, Software troubleshooting","Delivering results by driving execution of programs spanning multiple organizations from strategy to rollout. 4+ years of non-internship professional front end,…&hellip;
Skills: Authentication, SSO, MVC, CSS, Software troubleshooting"
Founding Full-Stack Software Engineer,Fonzi AI,NY,$150K - $210K (Employer est.),"React, DevOps, SQL, JavaScript, APIs","You’ll get to work with technologies that maximize engineering productivity. Talk to recruiters to understand their problems and design solutions.&hellip;
Skills: React, DevOps, SQL, JavaScript, APIs"
Junior Front-End Developer,Law Firm Development,NY,$25.00 - $35.00 Per Hour (Employer est.),"Web accessibility, Web design, SFTP, Website maintenance, Management","Develop and maintain user-friendly websites using HTML, CSS, and JavaScript, ensuring responsive design and optimal performance.&hellip;
Skills: Web accessibility, Web design, SFTP, Website maintenance, Management"
Staff Software Engineer - Mobile,ResortPass,NY,$200K - $240K (Employer est.),"Node.js, Mobile applications, MongoDB, AWS","You are an empathetic communicator who can work seamlessly with technical and non-technical stakeholders. Directing directly into our VP of Engineering, you…&hellip;
Skills: Node.js, Mobile applications, MongoDB, AWS"
Frontend Engineer - Onboarding,BitGo,NY,$150K - $180K (Employer est.),"CI/CD, Node.js, CSS, React, Employee orientation","Collaborate closely with design and product managers to plan and develop new UIs for upcoming initiatives. Proficiency in Git / GitHub, branching methodologies,…&hellip;
Skills: CI/CD, Node.js, CSS, React, Employee orientation"
"Associate, Software Engineer",Arbor Realty Trust,NY,$73K - $78K (Employer est.),"Computer science, Management, CSS, Bootstrap, XML","Design, develop, implement and support innovative solutions in alignment with Arbor's technology roadmap and corporate objectives.&hellip;
Skills: Computer science, Management, CSS, Bootstrap, XML"
"Senior Software Engineer, Full Stack (Python, ML, JavaScript, AWS)",Capital One,NY,Not Provided,"Azure, Go, CSS, Kubernetes, DevOps","Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, CSS, Kubernetes, DevOps"
Backend Engineer,HireIO,NY,$120K (Employer est.),"Computer science, CSS, iOS development, Data structures, System architecture","Responsibilities: Building best-in-class web-based UI that emphasizes ease-of-use, simplicity, clarity, and performance Contributing to all aspects of the…&hellip;
Skills: Computer science, CSS, iOS development, Data structures, System architecture"
Full Stack Engineer,Kforce,NY,$53.00 - $63.00 Per Hour (Employer est.),"React, PHP, JavaScript, Redux, APIs","Your role includes estimating delivery timelines, participating in code and design reviews, and upholding high code quality standards through performance…&hellip;
Skills: React, PHP, JavaScript, Redux, APIs"
Senior Software Engineer (Backend),mParticle,NY,$225K (Employer est.),"CI/CD, Go, Kubernetes, C#, English","A willingness and comfort in communicating remotely through chat, docs, video calls, and other collaborative online tools. Plus join the gym on us!&hellip;
Skills: CI/CD, Go, Kubernetes, C#, English"
"MTS 1, Software Engineer",PayPal,NY,$85K - $205K (Employer est.),"CI/CD, Oracle, Management, Gradle, CSS","We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account…&hellip;
Skills: CI/CD, Oracle, Management, Gradle, CSS"
"Software Development Engineer, Amazon",Amazon.com Services LLC,NY,$129K (Employer est.),"Computer science, SDLC, Design patterns","2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience.&hellip;
Skills: Computer science, SDLC, Design patterns"
