Job Title,Company,Location,Salary,Skills,Description
Software Engineer II (C# .NET WinForms),Management Science Associates,United States,Not Provided,"Computer science, Power BI, Management, Relational databases, Visual Studio","Must have the experience to begin working at the highest technical level of all phases of systems analysis and programming activity across the full scope of…&hellip;
Skills: Computer science, Power BI, Management, Relational databases, Visual Studio"
Senior Backend Engineer - Node - Typescript - AWS - Orange County,Motion Recruitment,CA,$150K - $170K (Employer est.),"Computer science, Go, Node.js, System design, E-commerce","You’ll focus on system design, technical leadership, and mentorship while building scalable, reliable systems to drive product success.&hellip;
Skills: Computer science, Go, Node.js, System design, E-commerce"
Software Developer,Oracle,CA,Not Provided,"Performance tuning, Operating systems, Oracle, Software troubleshooting, Data structures","Design, develop, troubleshoot, and debug software programs for databases, applications, tools, networks etc. Define specifications for significant new projects…&hellip;
Skills: Performance tuning, Operating systems, Oracle, Software troubleshooting, Data structures"
Senior Software Engineer for XR,Qualcomm,CA,$108K - $163K (Employer est.),"Git, Java, OS Kernels, C++, C","Bachelor's degree in Engineering, Information Systems, Computer Science, or related field and 2+ years of Software Applications Engineering, Software…&hellip;
Skills: Git, Java, OS Kernels, C++, C"
Software Development Engineer,Amazon.com Services LLC,CA,$151K - $262K (Employer est.),"Computer science, Mentoring, Software development, Leadership, SDLC","5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience.&hellip;
Skills: Computer science, Mentoring, Software development, Leadership, SDLC"
Software Systems Engineer,SRA OSS,CA,$105K - $149K (Glassdoor est.),Not Provided,"B.S. or foreign equivalent in computer science, computer information systems, management information systems, math, physics or related field plus two years in…&hellip;"
Senior Full Stack Engineer - P50,Adobe,CA,$154K - $287K (Employer est.),"Computer science, Node.js, React, Java, JavaScript","Prototype fast in diverse environments like frontend, backend, web apps and agents, using feedback and running quick PoCs to drive innovation.&hellip;
Skills: Computer science, Node.js, React, Java, JavaScript"
Build and Release Engineer,Apple,CA,$118K - $178K (Employer est.),"CI/CD, DevOps, Git, Build automation, Continuous integration","You will: Help define processes and help the team be more efficient Develop and maintain tools to help the Engineering/QA teams improve productivity Develop and…&hellip;
Skills: CI/CD, DevOps, Git, Build automation, Continuous integration"
Software Engineer 4 - AD1011949,Juniper Networks,CA,$141K - $202K (Employer est.),"Jira, Computer science, Microsoft Excel, Management, Data structures","This includes our state-of-the-art pub-sub based software architecture, our home-grown Graph based data model store, industry's first IBA framework for business…&hellip;
Skills: Jira, Computer science, Microsoft Excel, Management, Data structures"
Senior Software Engineer,Adobe,CA,$134K - $242K (Employer est.),"CI/CD, Management, Cassandra, Customer service, Big data","Proven expertise in Java, OOP principles, clean design, and design patterns. Articulate the choice of accurate tools and technologies.&hellip;
Skills: CI/CD, Management, Cassandra, Customer service, Big data"
"Backend Software Engineer, Lemon8",ByteDance,CA,$119K - $250K (Employer est.),"Go, System design, Java, C++, Distributed systems","Demonstrated experience in driving change within an organization and leading complex technical projects. Design, develop and deploy highly scalable distributed…&hellip;
Skills: Go, System design, Java, C++, Distributed systems"
"Software Engineer, Programming Teacher",RuiGuan Tech Inc,CA,$4K - $8K (Employer est.),"Early childhood education, English, Classroom experience, Chinese, Teaching","The Rui Guan team has achieved world championship titles in this field multiple times in 2016, 2019, 2021, 2023, and 2024, solidifying its reputation as a top…&hellip;
Skills: Early childhood education, English, Classroom experience, Chinese, Teaching"
Systems Software Cloud Engineer - Platform Architecture,Apple,CA,$143K - $264K (Employer est.),"Authentication, Go, Cloud architecture, Cassandra, Kubernetes","Apple’s Platform Architecture group is seeking a cloud focused, systems software engineer who will develop and support new technologies to support best-in-class…&hellip;
Skills: Authentication, Go, Cloud architecture, Cassandra, Kubernetes"
"Senior Software QA Engineer, Enterprise Technology Services",Apple,CA,$176K - $264K (Employer est.),"Computer science, Kubernetes, Encryption, Test automation, NoSQL","Proficiency in QE automation architecture, methodologies, processes, and tools. The job responsibility will include API Testing, Website testing, building test…&hellip;
Skills: Computer science, Kubernetes, Encryption, Test automation, NoSQL"
"Software Engineer, Insurance",Lyft,CA,$144K - $198K (Employer est.),"NoSQL, Databases, OOP, Distributed systems, Kafka","This team is responsible for helping us increase the number of drivers on the Lyft platform, ensuring that those drivers are delivering a high quality…&hellip;
Skills: NoSQL, Databases, OOP, Distributed systems, Kafka"
"Software Engineer, Systems ML - SW/HW Co-design",Meta,CA,$56.25 Per Hour (Employer est.),"Computer science, System design, C++, C, Machine learning","Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.&hellip;
Skills: Computer science, System design, C++, C, Machine learning"
Senior Machine Learning Engineer,iVisa.com,United States,Not Provided,"TensorFlow, CI/CD, Google Cloud Platform, AWS, Machine learning","As a leader, you will guide a team of engineers, shape technical strategy, and ensure best practices in AI/ML development.&hellip;
Skills: TensorFlow, CI/CD, Google Cloud Platform, AWS, Machine learning"
Senior Software Engineer (Hybrid),HackerRank,CA,$150K - $170K (Employer est.),"CI/CD, MVC, Go, Node.js, Software troubleshooting","Strong written and verbal communication skills, with the ability to clearly explain technical concepts to both technical and non-technical team members.&hellip;
Skills: CI/CD, MVC, Go, Node.js, Software troubleshooting"
Software Engineer - Mission Planning,Zoox,CA,$169K - $256K (Employer est.),"Computer science, C++, Robot programming","PhD in computer science or related field. BS/MS in Computer Science or a related field. Set the short and long term technical direction for the team and…&hellip;
Skills: Computer science, C++, Robot programming"
Early Career Software Engineer – Applied AI,Wonderschool,CA,$100K - $120K (Employer est.),"TensorFlow, Childcare, Management, AWS, Machine learning","Bachelor's degree in Computer Science, Engineering, or related field. Design, develop, and maintain robust software solutions with a focus on integrating AI…&hellip;
Skills: TensorFlow, Childcare, Management, AWS, Machine learning"
CompositorServices Software Engineer - Apple Vision Pro,Apple,CA,$167K - $296K (Employer est.),"Computer science, Objective-C, C, Software development, APIs","Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. BS Computer Science or equivalent degree.&hellip;
Skills: Computer science, Objective-C, C, Software development, APIs"
Software Developer,Oracle,CA,$98K - $152K (Glassdoor est.),"TensorFlow, Oracle, Management, Software troubleshooting, SQL","BS/MS/PhD degree in computer science, computer engineering, applied math or related field. Design, develop, troubleshoot and debug software programs for…&hellip;
Skills: TensorFlow, Oracle, Management, Software troubleshooting, SQL"
"Fullstack Engineer, Scribe",Commure + Athelas,CA,$130K - $180K (Employer est.),"Computer science, React, Kubernetes, Docker, JavaScript","Excitement to work in a high impact field with a builder attitude! [Required] Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field…&hellip;
Skills: Computer science, React, Kubernetes, Docker, JavaScript"
Senior Software Engineer (Data Management),SAP,CA,$121K - $254K (Employer est.),"Computer science, Management, SAP HANA, ERP systems, SQL","Educational Background: Master’s degree in Computer Science, or a related field. Collaboration: Work closely with data scientists and stakeholders and manage…&hellip;
Skills: Computer science, Management, SAP HANA, ERP systems, SQL"
"Senior Engineer, Software",PacBio,CA,$129K - $193K (Employer est.),"CI/CD, Gradle, Software troubleshooting, Bamboo, C#","A degree in Computer Science, Computer Engineering, or a related field. Develop and enhance existing tools, platforms, infrastructure and processes.&hellip;
Skills: CI/CD, Gradle, Software troubleshooting, Bamboo, C#"
Platform Engineer - AI Software Solutions,"Advanced Micro Devices, Inc",CA,$173K - $229K (Glassdoor est.),"CI/CD, System administration, Node.js, React, Kubernetes","Many AMD employees have the opportunity to own shares of AMD stock, as well as a discount when purchasing AMD stock if voluntarily participating in AMD’s…&hellip;
Skills: CI/CD, System administration, Node.js, React, Kubernetes"
"Software Engineer, Platform Engineering",Commure + Athelas,CA,$130K - $180K (Employer est.),"CI/CD, Computer science, Cloud infrastructure, Cloud architecture, Kubernetes","Participate in setting technical direction of our engineering platform and cloud infrastructure. The team owns cloud infrastructure, developer operations &…&hellip;
Skills: CI/CD, Computer science, Cloud infrastructure, Cloud architecture, Kubernetes"
"Software Engineer, UI Framework",ByteDance,CA,$145K - $250K (Employer est.),"Computer science, Mobile applications, iOS, C++, C","Bachelor's degree in Computer Science, Electrical Engineering, or related technical field, or equivalent practical experience.&hellip;
Skills: Computer science, Mobile applications, iOS, C++, C"
Senior Software Engineer,ASML,CA,$158K - $263K (Employer est.),"Data structures, R, C++, Machine learning, Scripting","Must be MS or PhD degree in physics, electrical engineering, applied mathematics, computer science, data science or related relevant field of engineering.&hellip;
Skills: Data structures, R, C++, Machine learning, Scripting"
Senior Software Engineer,Leidos,CA,$105K - $189K (Employer est.),"CI/CD, MATLAB, Image processing, Signal processing, FPGA","The candidate will primarily work to develop sensor-based products, develop space-based sensor applications to control the sensor’s unique capabilities, and…&hellip;
Skills: CI/CD, MATLAB, Image processing, Signal processing, FPGA"
"Software Engineer, Senior",Booz Allen,CA,$85K - $193K (Employer est.),"Drupal, Node.js, Software troubleshooting, React, C#","Experience developing software design documentation, interface documentation, technical reports, and integration procedures for operational use and future…&hellip;
Skills: Drupal, Node.js, Software troubleshooting, React, C#"
Senior Software Engineer,Motion Recruitment,CA,$180K - $240K (Employer est.),"Computer science, Node.js, React, AWS, TypeScript","5+ years of experience in engineering. Medical, Dental, and Vision Insurance. Applicants must be currently authorized to work in the US on a full-time basis now…&hellip;
Skills: Computer science, Node.js, React, AWS, TypeScript"
Sr. Manufacturing Automation Engineer,QualStaff Resources,CA,$100K - $140K (Employer est.),"CAD, Manufacturing","7+ years’ experience with the design, implementation, and maintenance of manufacturing automation systems. Bachelor’s Degree in Software, Electrical, Robotics,…&hellip;
Skills: CAD, Manufacturing"
"Full Stack Software Engineer, Apple Services Engineering",Apple,CA,$143K - $264K (Employer est.),"Web accessibility, Computer science, Go, Node.js, CSS","You will work closely with internal teams across various departments to design, develop, and maintain innovative web applications, with the opportunity to…&hellip;
Skills: Web accessibility, Computer science, Go, Node.js, CSS"
C4ISR Software Engineer,Scientific Research Corporation,CA,$146K - $245K (Employer est.),"Jira, CI/CD, Computer science, System architecture, Configuration management","Bachelor of Science degree from an accredited college or university in applied science, computing, engineering, mathematics, physics, management information…&hellip;
Skills: Jira, CI/CD, Computer science, System architecture, Configuration management"
"Software Engineer III, Google Cloud Data Management",Google,CA,Not Provided,"Data structures, Data analysis skills, Distributed systems, Natural language processing, Software development","We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…&hellip;
Skills: Data structures, Data analysis skills, Distributed systems, Natural language processing, Software development"
Senior Software Engineer,Cisco Systems,CA,$140K - $181K (Glassdoor est.),"Node.js, CSS, React, Web development, Express.js","Bachelor’s degree or in Computer Science or related field, and 5+ years of work experience with JavaScript, Node.js, React, or Express.js for web development.&hellip;
Skills: Node.js, CSS, React, Web development, Express.js"
Full-Stack Software Engineer (Mission Operations),K2 Space,CA,$119K - $200K (Employer est.),"CI/CD, Rust, CSS, Kubernetes, Software deployment","Bachelor's degree in computer science, computer engineering, electrical engineering, math, or a STEM discipline or 3+ years of professional experience in…&hellip;
Skills: CI/CD, Rust, CSS, Kubernetes, Software deployment"
Senior Backend Software Engineer,CTI Consulting,CA,$175K - $220K (Employer est.),"Node.js, AWS, Distributed systems, Software development, Communication skills","Collaborate closely with designers and engineers throughout the design and implementation phases. Provide technical support, customer success assistance, and…&hellip;
Skills: Node.js, AWS, Distributed systems, Software development, Communication skills"
React.js ExWalmart,Steneral Consulting,CA,$50.00 - $55.00 Per Hour (Employer est.),"React, JavaScript","exWalmart REACT candidates local to Sunnyvale, CA. Hybrid 2x Sunnyvale, CA React.js strong UI Development (no JD provided) Will send Glider…&hellip;
Skills: React, JavaScript"
Senior Software Applications Engineer,Qualcomm,CA,$108K - $163K (Employer est.),"Computer science, Software troubleshooting, Sales, Data analysis skills, Java","Bachelor's degree in Engineering, Information Systems, Computer Science, or related field and 2+ years of Software Applications Engineering, Software…&hellip;
Skills: Computer science, Software troubleshooting, Sales, Data analysis skills, Java"
Senior Software Engineer,MML US Inc,CA,$98K - $150K (Employer est.),"Computer science, Azure, Software deployment, DevOps, Mobile applications","Responsible for software architecture, design, and implementation, covering complete software development lifecycle from requirements analysis to production and…&hellip;
Skills: Computer science, Azure, Software deployment, DevOps, Mobile applications"
Analyst/Programmer - Career,"California State University, Fullerton",CA,$5K - $9K (Employer est.),"Oracle, Management, XML, ERP systems, System design","Essential Qualifications: Bachelor's degree from an accredited four-year college or university in Computer Science, Computer Information Systems, Information…&hellip;
Skills: Oracle, Management, XML, ERP systems, System design"
IOS Test engineer,Formac Inc,CA,$55.00 - $62.00 Per Hour (Employer est.),"iOS development, iOS, Confluence, Test cases, Cisco ASA","Work closely with Development engineer and Project manager. The resource must be available for special event deployments that can run overnight and being onsite…&hellip;
Skills: iOS development, iOS, Confluence, Test cases, Cisco ASA"
Software Developer,Oracle,CA,$98K - $152K (Glassdoor est.),"Data center experience, Oracle, Management, Software troubleshooting, XML","Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc. You will work with highly motivated and enthusiastic…&hellip;
Skills: Data center experience, Oracle, Management, Software troubleshooting, XML"
Release Engineer Stf,"QTC Management, Inc.",CA,$124K - $151K (Employer est.),"ASP.NET, Azure, Oracle, Management, Software troubleshooting","Bachelor’s degree from an accredited college in Computer Science, Business Administration, or related field. Ability to conduct research as required on new SDLC…&hellip;
Skills: ASP.NET, Azure, Oracle, Management, Software troubleshooting"
Full-Stack Product Engineer,Fable Security,CA,$106K - $163K (Glassdoor est.),"React, Django, APIs, Translation, GraphQL","You will design and ship features of our frontend – building a video player experience, dashboard, reporting flows, and tools for security teams.&hellip;
Skills: React, Django, APIs, Translation, GraphQL"
Software Engineer II – Vehicle Access Cloud,Rivian and VW Group Technology,CA,$117K - $168K (Glassdoor est.),"Go, Kubernetes, DevOps, English, Information security","Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field. As a software engineer, you will collaborate with senior engineers…&hellip;
Skills: Go, Kubernetes, DevOps, English, Information security"
Senior Software Engineer,"Striim, Inc.",CA,$170K - $190K (Employer est.),"Computer science, CSS, React, Git, Google Cloud Platform","A Bachelor's degree or higher in Computer Science or a similar field (or equivalent experience). The Senior Full Stack Engineer will be an integral part of our…&hellip;
Skills: Computer science, CSS, React, Git, Google Cloud Platform"
Staff AI Software Engineer,Qualcomm,CA,$152K - $228K (Employer est.),"TensorFlow, Computer science, Azure, Software deployment, LAN","Bachelor's degree in Engineering, Information Systems, Computer Science, or related field and 4+ years of Software Engineering or related work experience.&hellip;
Skills: TensorFlow, Computer science, Azure, Software deployment, LAN"
"Software Engineer, CAT E&A",Berkshire Hathaway Specialty Insurance,CA,$115K - $155K (Employer est.),"Kubernetes, PostGIS, R, Docker, Machine learning","Work with the team to help develop our technical platform to be more user-friendly and seamless, with an emphasis on bringing the various individual models…&hellip;
Skills: Kubernetes, PostGIS, R, Docker, Machine learning"
"Software Security Engineer - FairPlay Team, Apple Services Engineering",Apple,CA,$143K - $264K (Employer est.),"Computer science, iOS, Encryption, C++, Assembly language","They develop the custom software used to process all the creative work, the tools that providers use to deliver that media, all the server-side systems, and the…&hellip;
Skills: Computer science, iOS, Encryption, C++, Assembly language"
"Software Engineer 2 - Data Engineer (ETL, data pipelines,AWS Redshift)",U.S. Bank National Association,CA,$105K - $136K (Employer est.),"Data modeling, Management, Kubernetes, MongoDB, Java","As a member of the team, you will be a driving force in the culture of our team as well as having an immediate impact on the product we deliver to our customers…&hellip;
Skills: Data modeling, Management, Kubernetes, MongoDB, Java"
"Software Engineer, Systems ML - Frameworks / Compilers / Kernels",Meta,CA,$56.25 Per Hour (Employer est.),"TensorFlow, Performance tuning, Computer science, OS Kernels, Analysis skills","A Bachelor's degree in Computer Science, Computer Engineering, relevant technical field and 4+ years of experience in AI framework development or accelerating…&hellip;
Skills: TensorFlow, Performance tuning, Computer science, OS Kernels, Analysis skills"
"Sr. Software Engineer, Engineering Enablement",PlayStation Global,CA,$188K - $282K (Employer est.),"Go, Gradle, Kubernetes, DevOps, System design","Working closely with product development teams, operations teams, and leadership, you'll design and build tools and infrastructure.&hellip;
Skills: Go, Gradle, Kubernetes, DevOps, System design"
Software Engineer,Two Dots,CA,$150K - $225K (Employer est.),"Computer science, Node.js, JavaScript, Distributed systems, TypeScript","Degree or Certification in Computer Science or related technical field. Own the product development of Two Dots platform features, from design, development,…&hellip;
Skills: Computer science, Node.js, JavaScript, Distributed systems, TypeScript"
Software Developer,Oracle,CA,$100K - $153K (Glassdoor est.),"Operating systems, Go, Data structures, Java, Databases","You will develop a solid understanding of distributed systems and software architecture. You will collaborate with a dynamic team to create new features and…&hellip;
Skills: Operating systems, Go, Data structures, Java, Databases"
"Software Engineer, Cloud Developer",Hewlett Packard Enterprise,CA,$118K - $270K (Employer est.),"Computer science, TCP, Rust, Go, Management","We have specific programs catered to helping you reach any career goals you have — whether you want to become a knowledge expert in your field or apply your…&hellip;
Skills: Computer science, TCP, Rust, Go, Management"
AUTOMATION ENGINEER III - SENIOR AUTOMATION ENG,LISI,CA,$98K - $148K (Employer est.),"Microsoft Word, AutoCAD, Microsoft Excel, Microsoft Access, CAD","The engineer is expected to have a high level of technical expertise in Robotics, electronics, PLC, integration, and mechanical design.&hellip;
Skills: Microsoft Word, AutoCAD, Microsoft Excel, Microsoft Access, CAD"
Principal Embedded Engineer,Motion Recruitment,CA,$110K - $220K (Employer est.),"Encryption, C++, C, Routing protocols, Linux","Device driver and board support package development and maintenance for both ARM and RISC-V based systems. Audio streaming and push-to-talk voice application…&hellip;
Skills: Encryption, C++, C, Routing protocols, Linux"
Backend Engineer,Fable Security,CA,$106K - $175K (Glassdoor est.),"AWS, Distributed systems, Terraform, Django, APIs","You will own and develop the backend systems to serve our API, customer integration layer, data services, video generation infrastructure, and customer portal.&hellip;
Skills: AWS, Distributed systems, Terraform, Django, APIs"
Software Product Engineer,Orbis,CA,$175K - $250K (Employer est.),"Node.js, Signal processing, React, Machine learning, PostgreSQL","Optimise real-time syncing, state transitions, and latency in AI-powered tools. Experience: 4–8 years as a software engineer or in a related technical role,…&hellip;
Skills: Node.js, Signal processing, React, Machine learning, PostgreSQL"
"Software Engineer- (Java, NoSQL, Maven)-Hybrid-Sunnyvale ,CA",CEDENT,CA,Not Provided,"Computer science, NoSQL, E-commerce, Java, Software development","4+ years of developing / architecting high transaction high throughput systems is a must. 4+ years of developing / architecting high transaction high throughput…&hellip;
Skills: Computer science, NoSQL, E-commerce, Java, Software development"
Engineer III - Middleware,Inland Empire Health Plan,CA,$119K (Employer est.),"Performance tuning, Azure, Kubernetes, Ansible, IIS","Bachelor’s degree in a Computer related field or similar technical field from an accredited institution required. 457(b) option with a contribution match.&hellip;
Skills: Performance tuning, Azure, Kubernetes, Ansible, IIS"
Software Engineer,HANUMAYAMMA INNOVATIONS AND TECHNOLOGIES,CA,$133K (Employer est.),"MVC, Node.js, Bootstrap, Objective-C, Visio","Edu: MS in computer science or closely related field. Also working on IOS, MYSWL, MongoDB, Twitter Bootstrap, JQuery along with IDE tools like Xcode, Eclipse,…&hellip;
Skills: MVC, Node.js, Bootstrap, Objective-C, Visio"
"Senior Software Engineer, Creator Collaboration",Roblox,CA,$234K - $284K (Employer est.),"Computer science, C++, Network protocols, UI, Multithreading","Lead by example and mentor engineers to implement technological standard methodologies, patterns, and strategies. Roflex - Flexible and supportive work policy.&hellip;
Skills: Computer science, C++, Network protocols, UI, Multithreading"
Software Engineer-Infrastructure,"Opaque Systems, Inc.",CA,$120K - $165K (Employer est.),"CI/CD, Performance tuning, TCP, Cloud infrastructure, Operating systems","You'll design reliable, high-availability systems using tools like Kubernetes, Terraform, and GitHub Actions while enabling seamless CI/CD workflows.&hellip;
Skills: CI/CD, Performance tuning, TCP, Cloud infrastructure, Operating systems"
Realtime Software Engineer,Commonwealth Fusion Systems,CA,$80K - $180K (Employer est.),"CI/CD, TCP, Management, Application development, C++","Work with external software contractors to develop the control systems for internal production tools (Define requirements, manage priorities, drive testing and…&hellip;
Skills: CI/CD, TCP, Management, Application development, C++"
Front-end Engineer,Hippo Harvest,CA,$119K - $140K (Employer est.),"Rust, React, Tableau, Databases, SQL","Build responsive, mobile-friendly UI that gives operators insight into the state of different robots and automated components in our system, and supports basic…&hellip;
Skills: Rust, React, Tableau, Databases, SQL"
Software Engineer II,"Guidewire Software, Inc.",CA,$100K - $174K (Employer est.),"CI/CD, Cloud infrastructure, Go, Node.js, Kubernetes","Craft microservices, components, & tools to automate the life cycle of highly available (HA), distributed services and applications on multiple platforms!&hellip;
Skills: CI/CD, Cloud infrastructure, Go, Node.js, Kubernetes"
Front-End Developer,UCLA,CA,$30.56 - $60.82 Per Hour (Employer est.),"Jira, Web accessibility, Adobe Photoshop, AJAX, Node.js","Working knowledge of user experience (UX), user interface (UI), accessibility, information architecture (IA), design principles, form design and grid layouts.&hellip;
Skills: Jira, Web accessibility, Adobe Photoshop, AJAX, Node.js"
Software Engineer (Hardware Tools and Infrastructure),Arista Networks,CA,$119K - $148K (Employer est.),"Computer science, Go, Kubernetes, Git, C++","Support agile manufacturing by designing and developing tools that dynamically provide configuration information to tests, and automate manual, people-driven…&hellip;
Skills: Computer science, Go, Kubernetes, Git, C++"
"MTS 2, Software Engineer",PayPal,CA,$97K - $234K (Employer est.),"Cloud infrastructure, Oracle, Node.js, React, Google Cloud Platform","This team is responsible for building big data cloud platform, solution design, development, delivery and support/management as well as corresponding tools &…&hellip;
Skills: Cloud infrastructure, Oracle, Node.js, React, Google Cloud Platform"
"Software Engineer, macOS","Grammarly, Inc.",CA,$180K - $248K (Employer est.),"Operating systems, Data structures, OOP, Mac OS, Swift","The complexity of our technical challenges is growing rapidly as we scale our interfaces, algorithms, and infrastructure. 401(k) and RRSP matching.&hellip;
Skills: Operating systems, Data structures, OOP, Mac OS, Swift"
Full-Stack Engineer (EdTech),FutureSight,CA,$126K - $201K (Glassdoor est.),"Microsoft Excel, Azure, ADDIE, Kubernetes, NoSQL","Familiarity with AI tools and APIs, with the ability to integrate them into practical, real-world applications. Experience with Kubernetes or Docker Swarm.&hellip;
Skills: Microsoft Excel, Azure, ADDIE, Kubernetes, NoSQL"
"Software Engineer, Controls",Agtonomy,CA,$160K - $220K (Employer est.),"Writing skills, C++, Software development, Robotics, Communication skills","5+ years of software development experience in autonomy, robotics, or a related field. An eagerness to get your hands dirty by testing your code on real robots…&hellip;
Skills: Writing skills, C++, Software development, Robotics, Communication skills"
Full-Stack Product Engineer,Wispr Flow,CA,$125K - $200K (Employer est.),"CI/CD, CSS, AWS, Cloud development, JavaScript","Ship features end-to-end: Scope and lead technical projects from conception to deployment. Knowledgeable about design patterns & strong intuition for UI / UX…&hellip;
Skills: CI/CD, CSS, AWS, Cloud development, JavaScript"
Site Reliability Engineer,Apple,CA,$143K - $215K (Employer est.),"CI/CD, Computer science, System administration, Azure, Go","You will collaborate with engineering teams to design, implement, and monitor infrastructure and services, employing your expertise in automation and…&hellip;
Skills: CI/CD, Computer science, System administration, Azure, Go"
Software Engineer,"Payactiv, Inc.",CA,$120K - $150K (Employer est.),".NET Core, C#, Microsoft SQL Server, Git, Test-driven development","Collaboration: Work closely with product and design teams to understand end-user requirements, translate them into use cases, and develop pragmatic technical…&hellip;
Skills: .NET Core, C#, Microsoft SQL Server, Git, Test-driven development"
"Software Engineer, Google Cloud",Google,CA,Not Provided,"Go, Google Cloud Platform, Java, C++, C","We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…&hellip;
Skills: Go, Google Cloud Platform, Java, C++, C"
"Software Development Engineer, AWS HealthImaging","Amazon Development Center U.S., Inc.",CA,$129K - $224K (Employer est.),"Computer science, AWS, Distributed systems, SDLC, Design patterns","Responsibilities include driving architecture, design and implementation of complex components while maintaining a bar on quality, security, and mentoring…&hellip;
Skills: Computer science, AWS, Distributed systems, SDLC, Design patterns"
"Software Engineer, ML Infrastructure",Serve Robotics,CA,$119K - $160K (Employer est.),"Data mining, Go, Kubernetes, Computer vision, Big data","BS or MS in computer science with focus in data engineering and large scale ML systems. Strong tendency to automate own and others’ workflows.&hellip;
Skills: Data mining, Go, Kubernetes, Computer vision, Big data"
Python -Software QA Engineer,Capgemini,CA,$65K - $159K (Employer est.),"CI/CD, Sales, Git, Analysis skills, Scripting","Design and implement unit and system-level tests for our Silicon CAD tools and flows. Applicants for employment in the US must have valid work authorization…&hellip;
Skills: CI/CD, Sales, Git, Analysis skills, Scripting"
Database Developer,"Payactiv, Inc.",CA,$175K - $195K (Employer est.),"Performance tuning, Azure, Management, Database development, Relational databases","7-10 years of experience in database development, information technology, database architecture, or a related field. Strong command of SQL and SQL server tools.&hellip;
Skills: Performance tuning, Azure, Management, Database development, Relational databases"
"Software Engineer, Displays Software (Starship)",SpaceX,CA,$120K - $170K (Employer est.),"CSS, JavaScript, Software development, Communication skills, HTML","Bachelor's degree in computer science, software engineering, computer engineering, electrical engineering or other engineering discipline.&hellip;
Skills: CSS, JavaScript, Software development, Communication skills, HTML"
"Software Engineer, Build Platform",DoorDash USA,CA,$160K - $235K (Employer est.),"Cloud infrastructure, Go, Kubernetes, AWS, Continuous integration","You have a proven ability to design, build, and maintain modern developer tools, including scalable build systems and CI platforms.&hellip;
Skills: Cloud infrastructure, Go, Kubernetes, AWS, Continuous integration"
Software Engineer II,Cadence Design Systems,CA,$98K - $182K (Employer est.),"Software troubleshooting, Data structures, Analysis skills, C++, C","Hands on experience using the above physical design tools for design closure and knowledge of physical design flows a plus. We’re doing work that matters.&hellip;
Skills: Software troubleshooting, Data structures, Analysis skills, C++, C"
Software Engineer,Santa Barbara Infrared,CA,$130K - $160K (Employer est.),"Computer science, Software troubleshooting, Relational databases, C#, Microsoft SQL Server","Bachelor's level degree in computer science or related field. SBIR's broad line of innovative products support testing of military and commercial sensor systems…&hellip;
Skills: Computer science, Software troubleshooting, Relational databases, C#, Microsoft SQL Server"
Principal Software Engineer- Front End,Commscope,CA,$159K - $220K (Glassdoor est.),"Computer science, Node.js, CSS, Bootstrap, React","Our salary ranges consider a wide variety of factors, including but not limited to benchmarking by independent third-party consultants, skill sets, years of…&hellip;
Skills: Computer science, Node.js, CSS, Bootstrap, React"
"Software Engineer, Mission Planning",An Autonomous Mobility Company,CA,$92.00 - $97.00 Per Hour (Employer est.),"Computer science, C++, Automotive diagnostics","Ability to work on multiple layers of the autonomous driving computer stack. We're looking for candidates with a bachelor's degree and a minimum of 5 years of…&hellip;
Skills: Computer science, C++, Automotive diagnostics"
"Software Engineer, Workflow Orchestration",An Autonomous Mobility Company,CA,$90.00 Per Hour (Employer est.),"CI/CD, Git, Machine learning, Python","Collaborate with cross-functional teams to design and build various integrations and operators, such as integration with the company's in-house HPC…&hellip;
Skills: CI/CD, Git, Machine learning, Python"
Senior Software Engineer,Motion Recruitment,CA,$180K - $240K (Employer est.),"Computer science, Node.js, React, AWS, TypeScript","5+ years of experience in engineering. Medical, Dental, and Vision Insurance. Applicants must be currently authorized to work in the US on a full-time basis now…&hellip;
Skills: Computer science, Node.js, React, AWS, TypeScript"
Machine Learning Engineer (Hybrid / Culver City),Motion Recruitment,CA,$200K - $230K (Employer est.),"Computer vision, Data structures, SQL, Machine learning, Distributed systems","Build and Optimize Models: Design, develop, and fine-tune Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) systems that enhance marketing…&hellip;
Skills: Computer vision, Data structures, SQL, Machine learning, Distributed systems"
Staff Data Scientist / Machine Learning Engineer,Motion Recruitment,CA,$210K - $270K (Employer est.),"MATLAB, R, Google Cloud Platform, Java, Machine learning","Exp. in Gemini, Vertex AI, Open-source AI tools for machine learning & GenAI. Exp. in Java (preferred), Python, Microservices for programming & architecture.&hellip;
Skills: MATLAB, R, Google Cloud Platform, Java, Machine learning"
